speed;service;flavour;review
10;5;10;Yemek az geldi ama güzeldi... !
1;1;1;Hiç güzel degii.
10;10;10;Başta tereddüt ettim ama gelince lezzetli bir yemek di ellerinize sağlık çok güzeldi.
6;1;3;Bulgur pilavı çok lapa ve tadı kötüydü. Lavas bayatti çorba cok pütür pütürdu tavuk idare ederdi. Maalesef vasat biraz daha özenli olmalı.
1;1;1;Normal.
10;7;8;Normaldilahmacun.
10;8;5;Reis ciğeri ilk yediğimde kuzu şiş sandım ve dedim ki bu umarım ciğer değildir hepsi çok pişmişti yanmadan bi tık önce gibi tavuklar iyiydi sadece onların hatrına lezzete 5 verdim ama bir daha sipariş vermem büyük ihtimalle kolay gelsin hız baya iyiydi ama orda hakkınızı yemeyeyim.
8;7;1;Yemekte tad yoktu. Yemekten birşey anlamadik tabakta hepsi birbirine girmiş braz daha düzenli olabilirdi.
9;8;1;O lavaşın eşsiz lastiğimsi kıvamını bir daha bulabilir miyim.. Sanmam.
1;1;3;Normal.
8;8;8;Teşekkürler.
1;1;1;Çok kötü bir firma 330 ml kola olması gerekirken 250 ml gönderdiler rezillik diz boyu.
1;1;1;Bukadar kötüsüne raslamadım.
10;10;10;Gercekten kebab ve mezeler üst düzeydi. Biraz soğuk tu ama karli havada tam sicak beklemek yanlış olurdu.
9;9;4;Beğenmedim.
8;3;2;Kayış gibiydi lezzetsizdi poşetten kürdan bile çıkmadı.
1;5;4;Eskisi gibi tat alamıyorum.
10;10;10;Elinize sağlık çok güzeldi kolay gelsin.
10;10;8;Elinize sağlık.
5;10;10;Biraz daha hızlı olursa güzel olur yemek güzel allah var.
10;10;10;Kısa süre içinde geldi lezzetine güzeldi ellerinize sağlık.
1;1;1;Gelmesi bir saati geçiyor yoğunluk var deniyor yoğunluk varsa şipariş kabul etmeyeceksin. Lezzet neden bir dersen buz gibi kanat ve yarısı pişmiş yarısı pişmemişdi. Servis amatörce umarım kendinizi geliştirirsiniz.
10;10;10;Yorumlara baktım da abartı gerçekten hızlı ve sıcak geldi gayet lezzetliydi de ve ayrıca geçenlerde kar yagdigindada sipariş verdik iptal etmediniz o uzun yola dahi getirdiniz tekrar teşekkürler.
1;1;1;Hic guzel değil o paraya değmez yemin ederim. Soyledim bir daha söylemem asla.
1;1;1;Çok geç geliyor bu ara.
3;3;3;Tavuk pirzola söyledim 2 parça koymuşlar hiç koymasaydınız daha iyiydi.
1;1;1;Çok geç geldi.
10;10;10;Guzel.
10;10;10;İyi.
-;10;10;Güzel yemek.
-;1;1;Sossuz ıslak hamburger mi olur rezaletti. Ayrıca patso da çok kötüydü ekmeği ayrılmış çok kötü bı ketçap. Patsoyu koyamadim.
-;10;10;Fiyat performans.
-;1;1;Denemek için bir tane kumru bir tane salamlı tost aldım fakat ikisinden de memnun kalmadım. Kumruyu okul kantinlerindeki bayat tost ekmeğine yapıp göndermişler ve oldukça yavan bir tadı vardı. Tost içerisine ltfedip 3-4 parça salam koymuşlar, sadece ekmek arası sos yedim. Vasatın ötesinde hizmet.
-;10;10;Çok hızli bir servis oldu. Lezzetli ürün. Herkese tavsiye ederim. Menü. İçeriğide çok geniş. Hayırli satışlar dilerim.
-;10;10;Şekil ve tat olarak ev köftesi gibi lezzetli ve malzemesi idealdi. Ellerinize sağlık. Tereddüt etmeden tercih edebilirsiniz.
-;10;10;Bir ayvalıklı olarak istanbulda yediğim en güzel ayvalık tostu. Ekmeği büyük, malzemesi bol ve lezzetliydi. Ellerinize sağlık. Kesinlikle denemelisiniz.
-;1;1;Kumru demeye bin şahit küçücük sandiviç ekmeğine sosis ketçap mayonez koymuşlar kandırıyorlar insanı sözde 50 indirim var olmasa o fiyata o yemek gerçekten çok kötü kesinlikle almayın!
-;10;10;Tost malzemesi bol ve çok lezzetliydi. Islak hamburger köftesi ve sosu harikaydı. Yediğim en lezzetli ıslak hamburgerdi. Kesinlikle öneririm. Ellerinize sağlık.
10;9;10;Hamburger harika.
8;5;9;Servis şekli değiştirilmeli.
10;9;10;Pandemi döneminde tek adresim yine çok güzel teşekkürler.
7;8;10;Güzel.
10;10;10;Lezzetli tşk, 330 ml coca cols hediyesi fiyatı çok cazip hale getirmekte, bu promasyonu bitirmeyin, hamburger adresim artık burası.
7;8;10;330 ml coca cola ile hediye gelmesi çok güzel bir promasyon bu kalitede bir hamburger için fiyatı çok cazip hale geliyor doyurucu vakumlanmış geldi patatesler biraz yumuşamıştı ama rahatsız etmedi.
8;6;5;Normal fiyatları 56tl skalasındayken tek indirimli ürünü cheeseburger menüyü 28tlye aldım. Pahalılığına göre kötüydü. Ya da ben indirime denk geldim diye önemsememiş olabilirler ki bu daha da kötü. Turşu istememiştim. Normalde takılmam ama fiyat masraflı olunca insan özen bekliyor. Kurye kibardı.
10;10;10;Dikkat bağımlılık yaptı başka birşey yiğemiyoruz :q.
10;10;10;Gerçekten bu hamburger konusunu çözmüşünüz adan z ye 10 numara, patatesler hamurlaşmıştı tabiki buda paket işinde normal teşekkürler raifbey merakla mekanların açılmasını bekliyoruz birde bu lezzeti anında masada tatmak istiyoruz kolay gelsin.
10;10;10;Paketleme güzel ve sıcak geldi, başta tereddüt ettim soğuk gelecek diye ama daha önceden hamburgerinizi denediğim için siparişi verdikten 40 dk içinde bana geldi ve gayet başarılıydı, teşeklürler.
4;3;3;Siparişi verdikten sonra firma aradı sıcak getirmek için bi önceki siparişleri götürüp getireyim bi saate getirebilirim dedi bende okeyledim iki saatte gelebildi ürünlerde soğuktu lezzetli de anlayamadık.
8;5;4;Servis vakumlu pakette gelmiş güzel ama ekmek tazedegil büyük ihyimalle sabahtan yapılıp makineyle vakumluyorlar günlük olarak.
1;1;1;İlk siparişim süperdi ikinci siparşimde serviside lezzetide berbattı!
8;10;3;Hamburger ekmegi çok bayattı.
3;5;7;Siparıs hem cok gec geldı hem soguk geldı. 73 dkda geldı.
6;1;1;Hamburgerin içinde yazan malzemeler yok yazmayan şeyler var. Domates yazmıyor fakat koymuşlar ekmek ıslakti paramparça oldu. Sıcak sıcak plastik kaba koyup paket yapmışlar gerçek anlamda hamurdu bir daha asla almam fiyat performans açısından kesinlikle sınıfta kalır.
7;6;4;Hız 55 dakika hadi normal. Servis kötüydü streç filme sarmamanızı öneririm. Bunlar olabilir zamanla geliştirirsiniz ama hamburger ekmeği kaç günlüktü bilmiyorum asla taze değildi elde dağılıyordu. Patatesler çok soğuk ve lezzetsizdi asla dokunmadan çöpe attım. Hamburgerin de içini yedim maalesef.
6;5;4;Bu kez olmadı malesef. Soğuk patetes, hamburgerden baska herşeye benzeyen birsey. Birtek kola güzeldi, o da hazir zatrn3.. 30 tl değil, 15 tl bile etmedi. Üzüldüm. Tum paramı bu hamburgere vermistim.
10;10;10;Herşey süperr teşekkürler raif bey.
6;10;10;Bir hamburger asigi olarak soyluyorum hayatimda yedigim en lezzetli hamburgerdi. Gelmesi her ne kadar 1 saati bulsa da lezzeti ve sunumuyla arayi acik bir sekilde kapatiyor.
10;10;10;Herşey 10 numara teşekkür ederim.
1;1;2;Kavurmalı bir tostun fiyatı nasıl 40tl olur? Buna rağmen sırf jumbo yazdıgı için sipariş verdim, tamam büyükse zaten değer dedim. Bildiğimiz kare tost ekmeğinin aynısının 1cm büyüğü. 40tlye koca bir tabak beyti, iskender vs yenebilir. İçindeki eser miktardaki kavurmadan bahsetmek bile istmyrm.
1;1;1;Notlarda köftenin orta pişmiş olsun diye belirtmeme rağmen dalga geçilir gibi yanık kup kuru köfte geldi. Hamburgeri naylona vakumlayıp göndermişler şimdiye kadar gördüğüm en kötü paketlemeydi ve ekmek bayattı. Patatesler siz düşünün. Bu puan bile çok fazla.
10;10;10;Herşey çok süperrrr teşekkürler raif bey.
10;10;10;Yemeklerinizi çok ama çok beğendim.
8;3;1;Sorunu yazmıcağım sadece dikkatli olmanız lazım ve patatesi ve paketlemeyi düzeltmeniz.
10;10;10;Çok lezzetliydi teşekkür, plastik kapta geldi ama gıdaya uyumlu rahatsız etmedi.
10;10;10;Mükemmel.
1;1;1;Karnınız tok iken sipariş verin gelene kadar zaten acıkıyorsunuz böyle esnaflık olmaz motor kuryelerı yok sagdakı soldaki restaurantlara yalvararak sioariş gonderiyolar 1de soyledıgımız sıparıs 3te geldi.
10;10;10;Super hiz ve super tat. Tesekkurler.
10;8;10;Ezogelin corba süperdi. Taze fasulye biraz yağliydi ve posete akmisti gelirken. Genel olarak olumlu :).
5;7;7;Orta dereceydi ne iyi ne kötü diyebilirim.
2;1;1;Burası neden hep kapalı? Müşteriye hiç mi değer vermiyorsunuz? Her şey para mı?
10;2;8;50 tlnin üzerini çizip 25 tl yazmışsınız ve çeyrek ekmek koymuşsunuz. Gerçekten indirim olmasaydı ve sipariş verseydim 50 tlye mal olacaktı. Doymadım. Gidip üzerine marketten abur cubur aldım. Çeyrek ekmek olduğunu belirtseydiniz ve opsiyon koysaydınız ekmek alabilirdim. Hiç hoşuma gitmedi bu.
1;1;1;Soguk buz gibi geldi.
3;3;5;Yemek siparisim geldiginde buz gibiydi cunku motorla degil de calisanlariyla yuruyerek gondermislerdi yaklasik 2 km yolu. Gelen kisiye cok uzuldum o ayri ama bilseyd bu sekilde olacagini asla siparis vermezdim.
10;5;6;Fiyatlar çok pahalı izmir köfteye 30 yazmak ne demek? Pehlivan zaten hep pahalıydı ama bari yeni başlamışsın buraya fiyatlar normal yap da reklamın olsun. Bakın ucuz demiyorum normal.
10;10;7;İdare eder.
3;1;1;Tasıma çok kötü idi tatlılar başaşağı olmuştu.. Ayrıca pilav pismemis geldi. Köfteler de donmuş köfte idi el yapımı değildi ve inanılmaz pahalı idi çok pişman oldum bir daha sipariş vermem...
10;10;10;Ellerinize saglik.
9;10;10;Hız yacaştı biraz ama güzel ve uygun.
1;1;1;Daha az olsa daha az puan verilirdi.
10;10;10;Lezzetli.
1;1;1;Restorant kebap yaptığını zannediyor kebap siparişi vermeyin.
8;9;5;Adana bildiğin kurumuştu, hız ve servis fena değil.
10;10;10;Güzel.
1;1;1;İlk defa bir siparişim için yorum yapıyorum. Pideniz pişmemişti. Lahmacunda öyleydi hic tat alamadık 1 saati gecen bir sürede getirdiniz o ayrı konu. Bir daha siparişim vermeyeceğim net. :(.
7;8;7;45 dk teslim süresi idi 40 dk geldi malzemesi bol olsun dedim bizim adana bol. Malzemeleri oluyor durum dahi olsa kıyma da kaç gram bilmiyorum ama az gibi geldilavaş ekmeği güzeldi ama umarım ürün içeriği konusunda düzeltmeler olur iyi çalışmalar dilerim.
10;10;10;Abi harikaydı gözdemissiniz bundan sonra ama fişi getirmeyi unutmayalım pazartesi bekliyorum fişi :).
1;1;1;Ben hayatımda bu kadar kötüsünü yemedim nimettir sonuçta laf söylenmez bunlar yapamıyor kardeşim.
9;9;9;Elinize sağlık.
1;1;1;Bozuldu midemiz bu ne abi.
10;10;10;Kurye adresi karıştırmış gecikti ve soğumuş baya. Ama yinede emeğe saygı.
9;8;9;Maydanoz soğan istemedim hepsinde yine de vardı.
10;10;10;Lahmacun kral.
1;1;1;Durumun icinde et diye birşey yok sallata ekmek yedikk.
1;1;1;Berbat.
6;7;1;Hayatimda yedigim en kotu adana olabilir. Resmen kiymayi baharata bulayip gondermisler.
10;10;9;Süper kibar servis. Yeterli yemek bol garnitür ve içecek. Tebrikler. Böyle devam edin. İnşallah.
8;10;1;Etler çiğ geliyor bu aralar:(((.
8;5;4;Çok kurumuş geldi.
1;1;1;Çok kötü.
10;10;10;Tesekkur ederim.
10;10;8;Kıymalı kaşarlı pide söylemiştim tadı güzeldi alışık olduğum pide tadından biraz farklıydı ama yine de güzeldi.
10;10;10;Kuryenin siparişi veripte bozuk param yok diyip fazla bahşiş almak iyi bir şey değil.
10;10;10;Çok güzel.
10;10;10;Köfte sipariş ettik çok da beğendik bu puanlara nasıl düştünüz hocam :).
10;10;10;Harikaydı ellerinize sağlık.
5;5;1;Mercimek çorbası bozuktu, pilav normal ama üstündeki tavuk dönerler kim bilir kaçıncı kez ısıtılmış.
9;10;10;Daha hızlı daha iyi olacak.
10;10;10;Güzel.
10;10;10;Yarım kilo köfte söyledim keske 1 kilo söyleseydim aşırı begendim bir daha ki sefere insallah ellerinize sağlık iyi çalısmalar dilerim. Ayrıca kurye arkadasta cok kibardı ona ekstradan teşekkür etmek istiyorum keşke her yer böyle kibar arkadaslar çalıştırsa.
10;10;10;Aşık oldum, koca ekmeği iki öğünde yavaş yavaş yedim skdlcşşf.
10;10;10;Köfteleriniz çok lezzetliydi, ellerinize sağlık:).
10;10;10;Köfteler çok lezzetli elinize sağlık. Pilav bu sefer kalite kokuyodu cidden.
1;1;1;Gelen yemekten hiç bir şekilde lezzet yok köfte pilav inanılmaz kötüydü servis deseniz oda çok kötü bu kadar ciddi bir kuruma böyle yerleri hiç yakistiramadim.
10;10;10;Perfect meatball thank you.
10;10;10;Çok lezzetli ve doyurucu bir menü, ellerinize sağlık.
10;10;10;Elinize sağlık hızlı ve sıcak geldi.
8;8;8;Mükemmel gayette ucuz sadece soğukttu.
10;10;10;Fiyatlarınız çok uygun lezzette iyiydi elinize sağlık.
10;10;9;İyi ama kampanya olmadı ayran. Yok.
10;10;10;Köfteler harikaydı. Menü gayet doyurucu. Ellerinize sağlık.
3;3;3;Kurye kibardi onun dışında tat berbat hiçbirini yiyemedik.
7;6;4;Kendinizi gelistirin.
10;10;10;Bu puanlama gelen kurye arkadaş için. Guleryuzlulugu.
10;10;10;Ellerinize sağlık.
10;10;10;Ellerinize sağlık :))).
9;9;9;Pilav ve döner lezzetliydi ve sıcaktı, yanlarında verdikleri tatlı da tazeydi.
8;1;1;Ben hayatım boyunca böyle rezil bişey görmedim ekmek bayat köfteler ciğ içinde malzeme yoktu ama motorcu arkadas hızlı geldi dikkate alınması lazımm.
10;10;10;Köfteler çok lezzetliydi. Ellerinize sağlık.
10;10;10;Her yerde 30 tl olan sadece tavuk döner burda 17. 5 tl bide yanındakileri söylemiyorum bile pilavı salatası tatlısı içecegi aşırı doyurucuydu teşekkür ederim ellerinize sağlık.
8;8;8;Çok memnunum teşekkürler.
10;10;10;Önceki köftelerinize göre bu sefer ki köfte çok daha güzeldi favorilerimdesiniz bilmenizi istedim :) ellerize sağlık iyi çalısmalar.
8;9;8;Ortalama lezzet fiyat performans ürünü köfte menüyü tercih edebilirsiniz.
10;10;10;Güzel.
8;5;4;İdare eder.
9;7;5;Profiterol sipariş ettik ama hiç memnun kalmadık ama kurye ye ayrıca teşekkür ederiz yağmurlu havaya rağmen güleryüzlüydü profiterol tavsiye etmiyorum diğer müşterilere gittiği gibi keşke kahve gelseydi profiterolü telafi ederdi.
10;10;10;1000 1000 1000.
1;1;1;Kesinlikle profiterol siparişi vermeyin çikolatalı pudingi pişirip dökmüşler krema süt değil su ile yapılmış puding topaklanmis 1 kg çöpe gitti.
10;10;10;Beklediğimizden daha iyidi çok beğendik kahve içinde teşekkürler :).
10;10;10;100 100 100.
10;10;10;Kampanyalı alınca çok beklentiye girmemiştim. Ama gelen çok kaliteli profiterol oldu. Umarım kampanya hep devam eder :). Hediye kahve içinde çok teşekkürler. Çok tatlı bir düşünce.
10;10;10;Beşiktaştan esenlere gelmesi beni çok şaşırttı. Özellikle geç kalma durumu için arayıp bildirmeleri beni çok memnun etti. Müşteriyi bu şekilde önemsemeniz çok güzeldi, çok az bir gecikme olmuştu zaten :) profiterol çok hafif ve çok lezzetliydi. Ayrıca gönderdğiniz hediye kahve beni çok mutlu etti.
10;10;10;Olumsuz yorumları görünce açıkçası tereddüt ettim. Asla pişman olmadım. Ürünler taze çok lezettli. Tekrar sipariş vereceğim yakında. 10 10 10.
1;1;1;Gördüğüm enn rezalet şeydi, sakın almayın, bu işletmenin gidip profiterol yapmayı öğrenmesi gerekiyor, iç dolgusundan sosuna kadar yenecek durumda olmayan bir paket geldi gerçekten çok üzüldüm ve direkt çöpe atıldı, çok yazık, profiterolsüz profiterolcü tanımış oldum.
1;1;1;Ürün bayattı misafirlerim icin almistim icindeki kremasi eksiydi hamuru de bayatti bir daha alicagimi sanmiyorum.
8;8;2;Profiterol çikolatasının kıvamı malesef kötüydü. Pataşu sosdan dolayı yumuşaklaşmış lezzetsizdi. Üzgünüm kötü deneyim oldu, fıstıklı dondurma ise malesef olmamış bir lezzete su bazlı hissi vardı.
10;10;4;İç dolgu kreması tamamen donuk bir pelte şeklindeydi akışkan ve lezzetli değildi.
5;3;2;Yani geç saatte sipariş verdim mi diye bilmiyorum ama bayat ve kötü içindeki muhallebisi kötü çikolata sosu fena değil. Yani önermem.
10;10;10; gayet güzel ve hızlı hizmet başarılı bir tat ellerinize sağlık müşteri memnuniyeti çok güzel.
1;1;1;Sabah kahvaltıdan kalan poğaça ların üzerine bakkaldan danone alıp dökülmüş hayatımda böyle bir profiterol yemedim.
1;1;1;Hiç beğenmedim tadına bakıp çöpe attım.
10;10;10;Valla uzun zamandır yediklerimin en iyisiydi. Ama profiterolun hamuru biraz daha yumuşak olmalı öyle alışmışız çünkü bu biraz kurabiye yi andırıyor ama yinede dediğim gibi çok guzeldi.
10;10;10;Gayet tazeydi teşekkürlerrrr.
9;9;4;Çikolatası yook tu.
7;9;9;Gayet kaliteli ve lezzettli ellerinize sağlık. Yemek sonrası tatlı ikramınızda çok ince hareket.
10;10;10;Hızli geldi, cokta lezzetliydi.
10;10;10;Elinize sağlık çok beğendim.
10;10;10;Yemekler çok lezzetli kuryeler hızlı bi sekilde yemekleri soğutmadan getiriyor bu restorani herkeze tavsiye ederim.
10;10;2;Soğuk geldi.
1;1;1;Buz gibi be 2 saatte geldi.
8;8;1;Lahmacun tasi kotuydu hamuru sertti.
6;6;5;Hadi benim gözüm görmedi 12. 5 liralık 1litre ayranı istedim sizde hiç mi vicdan yok üzerindeki 4. 95tl yazısını bari silseydiniz. Ayrıca salatanın içine marul kökü koymak nedir arkadaş papağanmıyız biz yok yani profilimde papağan yazıyorsa söyleyin düzeltelim.
7;8;7;Zamanında.
1;1;1;Adanası çamur gibi.
1;1;1;Bad food and take 3 hours tocom e :(.
10;10;5;Average food taste.
1;1;1;Uzun zamandır kebap sizden söylüyorum bu defa sizden ciğer söyledim ama çöpe attım. Bayatlamıştı kokuyordu. Yani tabi hersey olabilir ete sonuçta et ama neden satıyorsunuz? Hiç hoş olmadı bu.
7;8;9;Bmn.
8;8;7;Urfa cok iyidi ama tavuk sis sanki bayat gibiydi.
1;1;1;Beğenmedim.
7;5;1;Adana durum soyledik kiymadan cok bulgur vardi icinde lezzetlide degildi.
8;8;8;İyi.
10;1;1;Pastırmalı kaşarlı pide istedim. Pastırmanın selamını bile almamış kaskatı pidemsi bir şey geldi.
1;1;1;20/30 dk sipariş süresine aldanarak pide söyleme gafletinde bulundum. 1 saatte geldi. Bu sırada restaurant i inceledim yemek sepetinde 50 indirimde satıyormuş ürünleri kampanya gereğince :) durum 40tl imiş 20tl ye pide 50tl yerjne 25 e veriyormuş. Bedava verseniz yenmez ama kampanya fiyasko aldatmac.
1;1;1;1 saaati geçmesine rağmen yoldayız dediler yemek gelmedi.
1;1;1;Çorba buz gibi yemek buz gibi 30. 40 dk yazıyor 1 saat 5 dk geldi sorduğumda ee yoğunluk var okimin işi yoğunsa heşey baştan sağma.
10;10;10;Superrrr.
9;9;9;Güzel.
10;10;10;Lahmacunlar güzeldi beğendim.
9;9;10;Ellerinize sağlık kesinlikle 1 numaraydi.
10;10;10;Pimi çekilmiş bomba gibiydi.
10;10;10;Adı gibi bomba gibiydi bu sefer. Hız konusunda büyük aşama kaydetmişler. Sivaslı kurye arkadaşa da nezaketinden, temizliğinden ve saygısından dolayı özellike teşekkür ederiz.
10;7;8;Midem yanmaya başladı sicak olduğunda gayet güzel ama soğukken kötü.
10;10;10;Teşekkürler.
10;10;10;Siparişimiz lezzetli, doyurucu bir o kadar da hızlı geldiği için teşekkür ederiz ayrıca ücret fazlasıyla uygun, tavsiye ederiz..
10;10;10;Gayet hızlı ve lezzetli.
10;10;10;Kuryeniz ömer beye hızlı teslimatından dolayı çok teşekkür ederim.
2;2;2;Soğuk ve geç geldi.
10;8;8;Siparişi getiren personel arkadaş çok kibar dı ismi ömer di teşekürler.
10;8;8;Siparişi getiren ömer bey çok efendi biriydi.
10;7;7;15 dk da geldi servis hızlı değil diyenler utansınnn.
10;10;10;Hem çok hızlı hemde çok lezzetliydi.
10;10;10;Cok lezzetli ilk defa siparis verdim, lezzet ve hizindan emin degildim ama 2side mukemmel, ellerinize saglik, tesekkurler.
10;10;10;Mükemmel.
10;7;5;Kriterlere göre hazırlanmamış.
6;10;10;Yavas ama lezzetli.
10;10;10;Bu civarda sizin gibi döner yapan yok elinize sağlık.
8;8;7;Güzel.
8;5;1;Sipariş poşetle geldi açtım buz gibi çıktı. Peteğin üzerine koyarak 1 saat ısıttım. Ayrıca ödemeyi k. K olarak yaptığım halde post cihazı unutulduğundan nakit vermek zorunda kaldm.
1;1;1;Lezzetsiz.
10;8;3;Hızlı geldi ama lezzetini pek beğenmedim çok acıydı.
8;8;8;Fena değil söylenebilir.
10;9;10;Lezzetli ve güzellerdi, sipariş ettiğim ayran gelmedi ancak bu zorlu günlerde pek önemli değil böyle şeyler.
1;5;7;1 saat 10 dakika da tavuk doner gelmesi bir rekor bence :).
1;1;5;Çok fazla sipariş alıyorlar ve yetiştiremiyorlar. Döner 1 saat 40 dakika sonra geldi ve tüm istanbulu dolaşmış gibi buz gibiydi. Bi de kandırıyorlar teslim ettik diye kayıt giriyorlar buraya. Almayın bu kadar sipariş kapatın ekranınızı. Normalde çok iyiler halbuki.
