Yorum,Duygu
Hızınızdan çok memnundum fakat çorbanın yanında ekmek göndermemeniz garipti :/.,Olumlu
Yaprak kanat deyip but gönderdikleri için ayrıca gayet soğuk olduğu için tavsiye etmiyorum.,Olumsuz
"Çorba soğuk içmek için kaşık yok, tuz yok tavuk şiş cok kuru tatsız hic begenmedim.",Olumsuz
"Tek kelime ile rezaletti. Hamburgerin ilkokul kantininde satılandan hiçbir farkı yoktu, hamburger ekmeği bakkalda satılan ucuz ekmektendi. Aynı şekilde hamburger köftesindede ağır bir koku vardı. İnanın hayatımda yediğim en kötü hamburgerdi.",Olumsuz
Hayatımda yediğim en olmamış kumru.,Olumsuz
Gayet güzel di. Ama cok yavaslar.,Olumlu
Kumruları sıcak ve lezzetliydi teşekkürler.,Olumlu
Hiç tavsiye etmiyorum üzgünüm.,Olumsuz
Patates kızartmasini yollamadiniz menü almıştim.,Olumsuz
Cok lezzetliydi zaten hep yedim yer bu işin hakını veriyosunuz.,Olumlu
Pos makinası çekmediği için ücret ödenmegetirindi. 100 lira üzeri.,Olumlu
Dönerin yanında gönderdiğiniz tatlı ikramı için teşekkürler.,Olumlu
Murat kardeşimin ayağına sağlık hız ve lezzet harika.,Olumlu
Elinize sağlık iyi çalışmalar.,Olumlu
Tek kelime ile çöp 1saat15 dk da geldi abartısız diyorum buzdolabından çıkmış gibiydi siz bu işi bırakın sayenizde aç da kaldık berbat hizmet için işletmenize teşekkür ederim.,Olumsuz
Ekmeğin içinde ki döner fiyatına göre bir tık daha az ve malzemesi az nerdeyse yok.,Notr
Dönerinizi değiştirdiniz herhalde seçim harika olmuş eskisine göre cok iyi hayırlı işler.,Olumlu
Fiyatlar gayet uygun gayet hızlı geldi elinize sağlık.,Olumlu
Cok lezztliyidi elinize emeginze saglik.,Olumlu
Ben normalde tavuk yemem sevnem arkadaşlarım daha önce yemiş beyenmişler banada tavsiye ettiler sipariş verdim gerçekten lezzet çok güzel servis çok güzel erken ve sıcak şekilde geldi bundan sonra tek adresim dereyolu dönercisi yemeden karar verilmez bende yedim kararımı verdim süperrrr.,Olumlu
Tavuğun tadı sosis gibiydi yani ne bileyim ne eti yediğimden şüphe ettim cidden.,Olumlu
İyidi teşekürler.,Olumlu
Hayatımda yediğim en kötü dönerlerden birtanesiydi bu saatden onunden bile geçmem onun yerine karton yesem daha iyiydi hız konusunda mardinden soylesem daha hızlı gelirdi.,Olumsuz
Ben param olmadığı için mecburiyetten burdan söyledim ama kendine saygısı olan bir insan burdan bir şey yemez.,Olumsuz
Çok hızlı geldi ve sıcaktı. Dürümü lezzetliydi.,Olumlu
İyiydi.,Olumlu
Siparişim çok hızlı geldi ve çok lezzetliydi teslim eden murat adlı kuryeniz çok kibardı tessekur ederim.,Olumlu
Tavuk donerız ıyı ancak et donerınız aşırı yag tadı gelıyordu servısınız harıka hız cok iyi.,Olumlu
Şiddetle tavsiye ederim iyi çalışmalar.,Olumlu
Cok yakin olmasina ragmen biraz yavas geldi ama pandemiden dolayi yogunluktandir diye dusunuyorum doner guzeldi hep aldigimiz yer zaten ellerinize saglik iyi calismalar.,Olumlu
"Elimize sağlık döneriniz çok iyi, iyi çalışmalar dilerim.",Olumlu
Az koyuyosunuz hemde yakina cok gec getiriyosunuz.,Olumsuz
Eksik ürün.,Olumlu
Biberler için teşekkür ederim.,Olumlu
Ön yargılı sipariş verdim yorumlardan dolayı ama gayet güzel ellerinize sağlık hayırlı işler.,Olumlu
Patso şahanede dönerin porsiyonu az geldi tamam belki eti gramladır ama pilavla desteklenebilir pilavda azdı ama lezzetli begendim.,Olumlu
Beğenmedim.,Notr
Katmeri mükemmel.,Olumlu
Yemek az geldi ama güzeldi... !,Olumlu
Hiç güzel degii.,Olumsuz
Başta tereddüt ettim ama gelince lezzetli bir yemek di ellerinize sağlık çok güzeldi.,Olumlu
Bulgur pilavı çok lapa ve tadı kötüydü. Lavas bayatti çorba cok pütür pütürdu tavuk idare ederdi. Maalesef vasat biraz daha özenli olmalı.,Olumsuz
Normal.,Olumsuz
Normaldilahmacun.,Olumlu
Reis ciğeri ilk yediğimde kuzu şiş sandım ve dedim ki bu umarım ciğer değildir hepsi çok pişmişti yanmadan bi tık önce gibi tavuklar iyiydi sadece onların hatrına lezzete 5 verdim ama bir daha sipariş vermem büyük ihtimalle kolay gelsin hız baya iyiydi ama orda hakkınızı yemeyeyim.,Olumlu
Yemekte tad yoktu. Yemekten birşey anlamadik tabakta hepsi birbirine girmiş braz daha düzenli olabilirdi.,Notr
O lavaşın eşsiz lastiğimsi kıvamını bir daha bulabilir miyim.. Sanmam.,Notr
Normal.,Olumsuz
Teşekkürler.,Olumlu
Çok kötü bir firma 330 ml kola olması gerekirken 250 ml gönderdiler rezillik diz boyu.,Olumsuz
Bukadar kötüsüne raslamadım.,Olumsuz
Gercekten kebab ve mezeler üst düzeydi. Biraz soğuk tu ama karli havada tam sicak beklemek yanlış olurdu.,Olumlu
Beğenmedim.,Olumlu
Kayış gibiydi lezzetsizdi poşetten kürdan bile çıkmadı.,Notr
Eskisi gibi tat alamıyorum.,Olumsuz
Elinize sağlık çok güzeldi kolay gelsin.,Olumlu
Elinize sağlık.,Olumlu
Biraz daha hızlı olursa güzel olur yemek güzel allah var.,Olumlu
Kısa süre içinde geldi lezzetine güzeldi ellerinize sağlık.,Olumlu
Gelmesi bir saati geçiyor yoğunluk var deniyor yoğunluk varsa şipariş kabul etmeyeceksin. Lezzet neden bir dersen buz gibi kanat ve yarısı pişmiş yarısı pişmemişdi. Servis amatörce umarım kendinizi geliştirirsiniz.,Olumsuz
Yorumlara baktım da abartı gerçekten hızlı ve sıcak geldi gayet lezzetliydi de ve ayrıca geçenlerde kar yagdigindada sipariş verdik iptal etmediniz o uzun yola dahi getirdiniz tekrar teşekkürler.,Olumlu
Hic guzel değil o paraya değmez yemin ederim. Soyledim bir daha söylemem asla.,Olumsuz
Çok geç geliyor bu ara.,Olumsuz
Tavuk pirzola söyledim 2 parça koymuşlar hiç koymasaydınız daha iyiydi.,Olumsuz
Çok geç geldi.,Olumsuz
Guzel.,Olumlu
İyi.,Olumlu
Hamburger harika.,Olumlu
Servis şekli değiştirilmeli.,Olumlu
Pandemi döneminde tek adresim yine çok güzel teşekkürler.,Olumlu
Güzel.,Olumlu
"Lezzetli tşk, 330 ml coca cols hediyesi fiyatı çok cazip hale getirmekte, bu promasyonu bitirmeyin, hamburger adresim artık burası.",Olumlu
330 ml coca cola ile hediye gelmesi çok güzel bir promasyon bu kalitede bir hamburger için fiyatı çok cazip hale geliyor doyurucu vakumlanmış geldi patatesler biraz yumuşamıştı ama rahatsız etmedi.,Olumlu
Normal fiyatları 56tl skalasındayken tek indirimli ürünü cheeseburger menüyü 28tlye aldım. Pahalılığına göre kötüydü. Ya da ben indirime denk geldim diye önemsememiş olabilirler ki bu daha da kötü. Turşu istememiştim. Normalde takılmam ama fiyat masraflı olunca insan özen bekliyor. Kurye kibardı.,Notr
Dikkat bağımlılık yaptı başka birşey yiğemiyoruz :q.,Olumlu
"Gerçekten bu hamburger konusunu çözmüşünüz adan z ye 10 numara, patatesler hamurlaşmıştı tabiki buda paket işinde normal teşekkürler raifbey merakla mekanların açılmasını bekliyoruz birde bu lezzeti anında masada tatmak istiyoruz kolay gelsin.",Olumlu
"Paketleme güzel ve sıcak geldi, başta tereddüt ettim soğuk gelecek diye ama daha önceden hamburgerinizi denediğim için siparişi verdikten 40 dk içinde bana geldi ve gayet başarılıydı, teşeklürler.",Olumlu
Siparişi verdikten sonra firma aradı sıcak getirmek için bi önceki siparişleri götürüp getireyim bi saate getirebilirim dedi bende okeyledim iki saatte gelebildi ürünlerde soğuktu lezzetli de anlayamadık.,Olumsuz
Servis vakumlu pakette gelmiş güzel ama ekmek tazedegil büyük ihyimalle sabahtan yapılıp makineyle vakumluyorlar günlük olarak.,Notr
İlk siparişim süperdi ikinci siparşimde serviside lezzetide berbattı!,Olumsuz
Hamburger ekmegi çok bayattı.,Olumlu
Siparıs hem cok gec geldı hem soguk geldı. 73 dkda geldı.,Notr
Hamburgerin içinde yazan malzemeler yok yazmayan şeyler var. Domates yazmıyor fakat koymuşlar ekmek ıslakti paramparça oldu. Sıcak sıcak plastik kaba koyup paket yapmışlar gerçek anlamda hamurdu bir daha asla almam fiyat performans açısından kesinlikle sınıfta kalır.,Olumsuz
Hız 55 dakika hadi normal. Servis kötüydü streç filme sarmamanızı öneririm. Bunlar olabilir zamanla geliştirirsiniz ama hamburger ekmeği kaç günlüktü bilmiyorum asla taze değildi elde dağılıyordu. Patatesler çok soğuk ve lezzetsizdi asla dokunmadan çöpe attım. Hamburgerin de içini yedim maalesef.,Notr
"Bu kez olmadı malesef. Soğuk patetes, hamburgerden baska herşeye benzeyen birsey. Birtek kola güzeldi, o da hazir zatrn3.. 30 tl değil, 15 tl bile etmedi. Üzüldüm. Tum paramı bu hamburgere vermistim.",Notr
Herşey süperr teşekkürler raif bey.,Olumlu
Bir hamburger asigi olarak soyluyorum hayatimda yedigim en lezzetli hamburgerdi. Gelmesi her ne kadar 1 saati bulsa da lezzeti ve sunumuyla arayi acik bir sekilde kapatiyor.,Olumlu
Herşey 10 numara teşekkür ederim.,Olumlu
"Kavurmalı bir tostun fiyatı nasıl 40tl olur? Buna rağmen sırf jumbo yazdıgı için sipariş verdim, tamam büyükse zaten değer dedim. Bildiğimiz kare tost ekmeğinin aynısının 1cm büyüğü. 40tlye koca bir tabak beyti, iskender vs yenebilir. İçindeki eser miktardaki kavurmadan bahsetmek bile istmyrm.",Olumsuz
Notlarda köftenin orta pişmiş olsun diye belirtmeme rağmen dalga geçilir gibi yanık kup kuru köfte geldi. Hamburgeri naylona vakumlayıp göndermişler şimdiye kadar gördüğüm en kötü paketlemeydi ve ekmek bayattı. Patatesler siz düşünün. Bu puan bile çok fazla.,Olumsuz
Herşey çok süperrrr teşekkürler raif bey.,Olumlu
Yemeklerinizi çok ama çok beğendim.,Olumlu
Sorunu yazmıcağım sadece dikkatli olmanız lazım ve patatesi ve paketlemeyi düzeltmeniz.,Notr
"Çok lezzetliydi teşekkür, plastik kapta geldi ama gıdaya uyumlu rahatsız etmedi.",Olumlu
Mükemmel.,Olumlu
Karnınız tok iken sipariş verin gelene kadar zaten acıkıyorsunuz böyle esnaflık olmaz motor kuryelerı yok sagdakı soldaki restaurantlara yalvararak sioariş gonderiyolar 1de soyledıgımız sıparıs 3te geldi.,Olumsuz
Super hiz ve super tat. Tesekkurler.,Olumlu
Ezogelin corba süperdi. Taze fasulye biraz yağliydi ve posete akmisti gelirken. Genel olarak olumlu :).,Olumlu
Orta dereceydi ne iyi ne kötü diyebilirim.,Notr
Burası neden hep kapalı? Müşteriye hiç mi değer vermiyorsunuz? Her şey para mı?,Olumsuz
50 tlnin üzerini çizip 25 tl yazmışsınız ve çeyrek ekmek koymuşsunuz. Gerçekten indirim olmasaydı ve sipariş verseydim 50 tlye mal olacaktı. Doymadım. Gidip üzerine marketten abur cubur aldım. Çeyrek ekmek olduğunu belirtseydiniz ve opsiyon koysaydınız ekmek alabilirdim. Hiç hoşuma gitmedi bu.,Notr
Soguk buz gibi geldi.,Olumsuz
Yemek siparisim geldiginde buz gibiydi cunku motorla degil de calisanlariyla yuruyerek gondermislerdi yaklasik 2 km yolu. Gelen kisiye cok uzuldum o ayri ama bilseyd bu sekilde olacagini asla siparis vermezdim.,Olumsuz
Fiyatlar çok pahalı izmir köfteye 30 yazmak ne demek? Pehlivan zaten hep pahalıydı ama bari yeni başlamışsın buraya fiyatlar normal yap da reklamın olsun. Bakın ucuz demiyorum normal.,Olumlu
İdare eder.,Olumlu
Tasıma çok kötü idi tatlılar başaşağı olmuştu.. Ayrıca pilav pismemis geldi. Köfteler de donmuş köfte idi el yapımı değildi ve inanılmaz pahalı idi çok pişman oldum bir daha sipariş vermem...,Olumsuz
Ellerinize saglik.,Olumlu
Hız yacaştı biraz ama güzel ve uygun.,Olumlu
Daha az olsa daha az puan verilirdi.,Olumsuz
Lezzetli.,Olumlu
Restorant kebap yaptığını zannediyor kebap siparişi vermeyin.,Olumsuz
"Adana bildiğin kurumuştu, hız ve servis fena değil.",Olumlu
Güzel.,Olumlu
İlk defa bir siparişim için yorum yapıyorum. Pideniz pişmemişti. Lahmacunda öyleydi hic tat alamadık 1 saati gecen bir sürede getirdiniz o ayrı konu. Bir daha siparişim vermeyeceğim net. :(.,Olumsuz
45 dk teslim süresi idi 40 dk geldi malzemesi bol olsun dedim bizim adana bol. Malzemeleri oluyor durum dahi olsa kıyma da kaç gram bilmiyorum ama az gibi geldilavaş ekmeği güzeldi ama umarım ürün içeriği konusunda düzeltmeler olur iyi çalışmalar dilerim.,Olumlu
Abi harikaydı gözdemissiniz bundan sonra ama fişi getirmeyi unutmayalım pazartesi bekliyorum fişi :).,Olumlu
Ben hayatımda bu kadar kötüsünü yemedim nimettir sonuçta laf söylenmez bunlar yapamıyor kardeşim.,Olumsuz
Elinize sağlık.,Olumlu
Bozuldu midemiz bu ne abi.,Olumsuz
Kurye adresi karıştırmış gecikti ve soğumuş baya. Ama yinede emeğe saygı.,Olumlu
Maydanoz soğan istemedim hepsinde yine de vardı.,Olumlu
Lahmacun kral.,Olumlu
Durumun icinde et diye birşey yok sallata ekmek yedikk.,Olumsuz
Berbat.,Olumsuz
Hayatimda yedigim en kotu adana olabilir. Resmen kiymayi baharata bulayip gondermisler.,Notr
Süper kibar servis. Yeterli yemek bol garnitür ve içecek. Tebrikler. Böyle devam edin. İnşallah.,Olumlu
Etler çiğ geliyor bu aralar:(((.,Notr
Çok kurumuş geldi.,Notr
Çok kötü.,Olumsuz
Tesekkur ederim.,Olumlu
Kıymalı kaşarlı pide söylemiştim tadı güzeldi alışık olduğum pide tadından biraz farklıydı ama yine de güzeldi.,Olumlu
Kuryenin siparişi veripte bozuk param yok diyip fazla bahşiş almak iyi bir şey değil.,Olumlu
Çok güzel.,Olumlu
Köfte sipariş ettik çok da beğendik bu puanlara nasıl düştünüz hocam :).,Olumlu
Harikaydı ellerinize sağlık.,Olumlu
"Mercimek çorbası bozuktu, pilav normal ama üstündeki tavuk dönerler kim bilir kaçıncı kez ısıtılmış.",Olumsuz
Daha hızlı daha iyi olacak.,Olumlu
Güzel.,Olumlu
Yarım kilo köfte söyledim keske 1 kilo söyleseydim aşırı begendim bir daha ki sefere insallah ellerinize sağlık iyi çalısmalar dilerim. Ayrıca kurye arkadasta cok kibardı ona ekstradan teşekkür etmek istiyorum keşke her yer böyle kibar arkadaslar çalıştırsa.,Olumlu
"Aşık oldum, koca ekmeği iki öğünde yavaş yavaş yedim skdlcşşf.",Olumlu
"Köfteleriniz çok lezzetliydi, ellerinize sağlık:).",Olumlu
Köfteler çok lezzetli elinize sağlık. Pilav bu sefer kalite kokuyodu cidden.,Olumlu
Gelen yemekten hiç bir şekilde lezzet yok köfte pilav inanılmaz kötüydü servis deseniz oda çok kötü bu kadar ciddi bir kuruma böyle yerleri hiç yakistiramadim.,Olumsuz
Perfect meatball thank you.,Olumlu
"Çok lezzetli ve doyurucu bir menü, ellerinize sağlık.",Olumlu
Elinize sağlık hızlı ve sıcak geldi.,Olumlu
Mükemmel gayette ucuz sadece soğukttu.,Olumlu
Fiyatlarınız çok uygun lezzette iyiydi elinize sağlık.,Olumlu
İyi ama kampanya olmadı ayran. Yok.,Olumlu
Köfteler harikaydı. Menü gayet doyurucu. Ellerinize sağlık.,Olumlu
Kurye kibardi onun dışında tat berbat hiçbirini yiyemedik.,Olumsuz
Kendinizi gelistirin.,Notr
Bu puanlama gelen kurye arkadaş için. Guleryuzlulugu.,Olumlu
Ellerinize sağlık.,Olumlu
Ellerinize sağlık :))).,Olumlu
"Pilav ve döner lezzetliydi ve sıcaktı, yanlarında verdikleri tatlı da tazeydi.",Olumlu
Ben hayatım boyunca böyle rezil bişey görmedim ekmek bayat köfteler ciğ içinde malzeme yoktu ama motorcu arkadas hızlı geldi dikkate alınması lazımm.,Olumsuz
Köfteler çok lezzetliydi. Ellerinize sağlık.,Olumlu
Her yerde 30 tl olan sadece tavuk döner burda 17. 5 tl bide yanındakileri söylemiyorum bile pilavı salatası tatlısı içecegi aşırı doyurucuydu teşekkür ederim ellerinize sağlık.,Olumlu
Çok memnunum teşekkürler.,Olumlu
Önceki köftelerinize göre bu sefer ki köfte çok daha güzeldi favorilerimdesiniz bilmenizi istedim :) ellerize sağlık iyi çalısmalar.,Olumlu
Ortalama lezzet fiyat performans ürünü köfte menüyü tercih edebilirsiniz.,Olumlu
Güzel.,Olumlu
İdare eder.,Notr
Profiterol sipariş ettik ama hiç memnun kalmadık ama kurye ye ayrıca teşekkür ederiz yağmurlu havaya rağmen güleryüzlüydü profiterol tavsiye etmiyorum diğer müşterilere gittiği gibi keşke kahve gelseydi profiterolü telafi ederdi.,Olumlu
1000 1000 1000.,Olumlu
Kesinlikle profiterol siparişi vermeyin çikolatalı pudingi pişirip dökmüşler krema süt değil su ile yapılmış puding topaklanmis 1 kg çöpe gitti.,Olumsuz
Beklediğimizden daha iyidi çok beğendik kahve içinde teşekkürler :).,Olumlu
100 100 100.,Olumlu
Kampanyalı alınca çok beklentiye girmemiştim. Ama gelen çok kaliteli profiterol oldu. Umarım kampanya hep devam eder :). Hediye kahve içinde çok teşekkürler. Çok tatlı bir düşünce.,Olumlu
"Beşiktaştan esenlere gelmesi beni çok şaşırttı. Özellikle geç kalma durumu için arayıp bildirmeleri beni çok memnun etti. Müşteriyi bu şekilde önemsemeniz çok güzeldi, çok az bir gecikme olmuştu zaten :) profiterol çok hafif ve çok lezzetliydi. Ayrıca gönderdğiniz hediye kahve beni çok mutlu etti.",Olumlu
Olumsuz yorumları görünce açıkçası tereddüt ettim. Asla pişman olmadım. Ürünler taze çok lezettli. Tekrar sipariş vereceğim yakında. 10 10 10.,Olumlu
"Gördüğüm enn rezalet şeydi, sakın almayın, bu işletmenin gidip profiterol yapmayı öğrenmesi gerekiyor, iç dolgusundan sosuna kadar yenecek durumda olmayan bir paket geldi gerçekten çok üzüldüm ve direkt çöpe atıldı, çok yazık, profiterolsüz profiterolcü tanımış oldum.",Olumsuz
Ürün bayattı misafirlerim icin almistim icindeki kremasi eksiydi hamuru de bayatti bir daha alicagimi sanmiyorum.,Olumsuz
"Profiterol çikolatasının kıvamı malesef kötüydü. Pataşu sosdan dolayı yumuşaklaşmış lezzetsizdi. Üzgünüm kötü deneyim oldu, fıstıklı dondurma ise malesef olmamış bir lezzete su bazlı hissi vardı.",Notr
İç dolgu kreması tamamen donuk bir pelte şeklindeydi akışkan ve lezzetli değildi.,Olumlu
Yani geç saatte sipariş verdim mi diye bilmiyorum ama bayat ve kötü içindeki muhallebisi kötü çikolata sosu fena değil. Yani önermem.,Olumsuz
 gayet güzel ve hızlı hizmet başarılı bir tat ellerinize sağlık müşteri memnuniyeti çok güzel.,Olumlu
Sabah kahvaltıdan kalan poğaça ların üzerine bakkaldan danone alıp dökülmüş hayatımda böyle bir profiterol yemedim.,Olumsuz
Hiç beğenmedim tadına bakıp çöpe attım.,Olumsuz
Valla uzun zamandır yediklerimin en iyisiydi. Ama profiterolun hamuru biraz daha yumuşak olmalı öyle alışmışız çünkü bu biraz kurabiye yi andırıyor ama yinede dediğim gibi çok guzeldi.,Olumlu
Gayet tazeydi teşekkürlerrrr.,Olumlu
Çikolatası yook tu.,Olumlu
Gayet kaliteli ve lezzettli ellerinize sağlık. Yemek sonrası tatlı ikramınızda çok ince hareket.,Olumlu
"Hızli geldi, cokta lezzetliydi.",Olumlu
Elinize sağlık çok beğendim.,Olumlu
Yemekler çok lezzetli kuryeler hızlı bi sekilde yemekleri soğutmadan getiriyor bu restorani herkeze tavsiye ederim.,Olumlu
Soğuk geldi.,Olumlu
Buz gibi be 2 saatte geldi.,Olumsuz
Lahmacun tasi kotuydu hamuru sertti.,Notr
Hadi benim gözüm görmedi 12. 5 liralık 1litre ayranı istedim sizde hiç mi vicdan yok üzerindeki 4. 95tl yazısını bari silseydiniz. Ayrıca salatanın içine marul kökü koymak nedir arkadaş papağanmıyız biz yok yani profilimde papağan yazıyorsa söyleyin düzeltelim.,Notr
Zamanında.,Olumlu
Adanası çamur gibi.,Olumsuz
Bad food and take 3 hours tocom e :(.,Olumsuz
Average food taste.,Olumlu
Uzun zamandır kebap sizden söylüyorum bu defa sizden ciğer söyledim ama çöpe attım. Bayatlamıştı kokuyordu. Yani tabi hersey olabilir ete sonuçta et ama neden satıyorsunuz? Hiç hoş olmadı bu.,Olumsuz
Bmn.,Olumlu
Urfa cok iyidi ama tavuk sis sanki bayat gibiydi.,Olumlu
Beğenmedim.,Olumsuz
Adana durum soyledik kiymadan cok bulgur vardi icinde lezzetlide degildi.,Notr
İyi.,Olumlu
Pastırmalı kaşarlı pide istedim. Pastırmanın selamını bile almamış kaskatı pidemsi bir şey geldi.,Notr
20/30 dk sipariş süresine aldanarak pide söyleme gafletinde bulundum. 1 saatte geldi. Bu sırada restaurant i inceledim yemek sepetinde 50 indirimde satıyormuş ürünleri kampanya gereğince :) durum 40tl imiş 20tl ye pide 50tl yerjne 25 e veriyormuş. Bedava verseniz yenmez ama kampanya fiyasko aldatmac.,Olumsuz
1 saaati geçmesine rağmen yoldayız dediler yemek gelmedi.,Olumsuz
Çorba buz gibi yemek buz gibi 30. 40 dk yazıyor 1 saat 5 dk geldi sorduğumda ee yoğunluk var okimin işi yoğunsa heşey baştan sağma.,Olumsuz
Superrrr.,Olumlu
Güzel.,Olumlu
Lahmacunlar güzeldi beğendim.,Olumlu
Ellerinize sağlık kesinlikle 1 numaraydi.,Olumlu
Pimi çekilmiş bomba gibiydi.,Olumlu
"Adı gibi bomba gibiydi bu sefer. Hız konusunda büyük aşama kaydetmişler. Sivaslı kurye arkadaşa da nezaketinden, temizliğinden ve saygısından dolayı özellike teşekkür ederiz.",Olumlu
Midem yanmaya başladı sicak olduğunda gayet güzel ama soğukken kötü.,Olumlu
Teşekkürler.,Olumlu
"Siparişimiz lezzetli, doyurucu bir o kadar da hızlı geldiği için teşekkür ederiz ayrıca ücret fazlasıyla uygun, tavsiye ederiz..",Olumlu
Gayet hızlı ve lezzetli.,Olumlu
Kuryeniz ömer beye hızlı teslimatından dolayı çok teşekkür ederim.,Olumlu
Soğuk ve geç geldi.,Olumsuz
Siparişi getiren personel arkadaş çok kibar dı ismi ömer di teşekürler.,Olumlu
Siparişi getiren ömer bey çok efendi biriydi.,Olumlu
15 dk da geldi servis hızlı değil diyenler utansınnn.,Olumlu
Hem çok hızlı hemde çok lezzetliydi.,Olumlu
"Cok lezzetli ilk defa siparis verdim, lezzet ve hizindan emin degildim ama 2side mukemmel, ellerinize saglik, tesekkurler.",Olumlu
Mükemmel.,Olumlu
Kriterlere göre hazırlanmamış.,Olumlu
Yavas ama lezzetli.,Olumlu
Bu civarda sizin gibi döner yapan yok elinize sağlık.,Olumlu
Güzel.,Olumlu
Sipariş poşetle geldi açtım buz gibi çıktı. Peteğin üzerine koyarak 1 saat ısıttım. Ayrıca ödemeyi k. K olarak yaptığım halde post cihazı unutulduğundan nakit vermek zorunda kaldm.,Notr
Lezzetsiz.,Olumsuz
Hızlı geldi ama lezzetini pek beğenmedim çok acıydı.,Olumlu
Fena değil söylenebilir.,Olumlu
"Lezzetli ve güzellerdi, sipariş ettiğim ayran gelmedi ancak bu zorlu günlerde pek önemli değil böyle şeyler.",Olumlu
1 saat 10 dakika da tavuk doner gelmesi bir rekor bence :).,Notr
Çok fazla sipariş alıyorlar ve yetiştiremiyorlar. Döner 1 saat 40 dakika sonra geldi ve tüm istanbulu dolaşmış gibi buz gibiydi. Bi de kandırıyorlar teslim ettik diye kayıt giriyorlar buraya. Almayın bu kadar sipariş kapatın ekranınızı. Normalde çok iyiler halbuki.,Olumsuz
Arkadaşımizınkinden küçük bir parça taş çiktı lezzet tat çok iyiydi hersey süperdi.,Olumlu
Ustam döneri kafasına göre yapmasa daha iyi olacak.,Olumlu
Güzeldi.,Olumlu
Sipariş çok hızlı geldi. Sivaslı kuryeye teşekkürler.,Olumlu
Aydın bey işinde oldukça tecrübeli bir kurye bunu güler yüzlü olmasından ve servisi gayet hızlı bi şekilde bize ulaştırmasından rahatlıkla anlayabiliyoruz.,Olumlu
Baya porsiyon küçük olmuş indirim yapinca mi öyle oluyor çok kötü.,Olumsuz
İyi.,Olumlu
Kötüydü.,Olumsuz
"Yediğim dönerin döner olmasına 1000 şahit istenir. Lavaş sakız gibi tavuk eski, zamanlama 1 saatte esnaflık 0. Ne bir peçete ne ıslak mendil yoktu. Servis 0. Hatay soslu diye tanıttıkları sosu, hataylı olmasam yiyecektim. Para israfı. 1 ısırık aldım gerisi çöpte. Yazıklar olsun.",Olumsuz
Çok beğendik hızlı geldi sıcaktı sunum ve porsiyonlar iyiydi.,Olumlu
Rezalet.,Olumsuz
İlk defa sipariş verdiğim bir restoran. Joker indirimden yararlandım ve memnun kaldım. Teşekkür ederim ellerinize sağlık...,Olumlu
Bence düzelmesi gereken çok şey var.,Olumlu
"Hiz cok iyiydi 10-15 dkda geldi siparis. Ama lezzet asiri kotu. Asiri actim ve joker kazanmistim. 2 tavuk doner soledim. 1 tanesini yiyebildim. Acligimi bastirinca digerini midem almadi. Lavas ve sos cok kotu. Lavas cok yavan, sosda rahatsiz edici bir tad birakiyor insanin agzinda.",Notr
"Lavaş dürüm sakız gibi uzuyor ve sakız gibi uzadığı için, içindeki dönerler hep dışarı dökülüyor lavaş ekmeği başka yerden almanızı rica ederim.",Notr
